NroItem;CodTransaccion;NroSerial;CodCampus;NroFormulario;Nombre;Ubicación;Proveedor;EmpresaResponsable;Estado;codebar
215;327;Sin serial ;000000;966217823;Mouse-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
216;327;400SN39207;000000;966217823;CPU-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
217;327;COM2024CM21070727;000000;966217823;Monitor-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
218;327;KBM130090728;000000;966217823;Teclado-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
219;327;Sin serial ;000000;966217823;Mouse-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
220;327;400SN39170;000000;966217823;CPU-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
221;327;COM2024CM21070063;000000;966217823;Monitor-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
222;327;KBM130090729;000000;966217823;Teclado-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
223;327;Sin serial ;000000;966217823;Mouse-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
224;327;400SN39193;000000;966217823;CPU-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
225;327;COM2024CM21070203;000000;966217823;Monitor-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
226;327;KBM130091734;000000;966217823;Teclado-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
227;327;Sin serial ;000000;966217823;Mouse-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
